Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Ticker,volume_today,value_today,volume_ratio_3m,volume_change_pct,price_change_pct,intraday_range_pct,gap_open_pct,candle_type,ma5,ma20,ma60,ma5_cross_ma20,price_above_ma60,ma_alignment_score,atr_14,bollinger_band_width,volatility_spike,rsi_14,macd,macd_signal_diff,stochastic_k
2015-02-17,11.633333206176758,11.983332633972168,11.633333206176758,11.949999809265137,10.103716850280762,20197500.0,-0.0063752457094686,-0.0063956543748073,0.3499994277954101,63.684983126258025,CSX,20197500.0,204069821.08354568,,-11.685228182020913,-0.637524570946868,3.464066075700492,14.405104773359264,음봉,10.144303131103516,,,False,False,0,0.22952365875244166,,False,63.684983126258025,0.08293977584372847,0.03151824390987818,-77.50930406012752
2015-02-18,11.960000038146973,11.966667175292969,11.763333320617676,11.796667098999023,9.974078178405762,23187300.0,-0.012830790272136,-0.0129138158151229,0.2033338546752929,65.56169520909685,CSX,23187300.0,231271942.94614792,,14.80282213145192,-1.2830790272136072,2.03862302899849,18.372280373381887,음봉,10.13641185760498,,,False,False,0,0.21714278629847947,,False,65.56169520909685,0.07330606326614486,0.01744362485866826,-87.9081259920826
2015-02-19,11.733332633972168,11.92666721343994,11.713333129882812,11.84333324432373,10.013534545898438,18409800.0,0.0039558911397046,0.003948087176665,0.2133340835571271,66.06173195850968,CSX,18409800.0,184347168.28308105,,-20.60395130092766,0.3955891139704626,2.130457358281239,17.638266154512962,음봉,10.113302230834961,9.857117223739625,,True,False,0,0.21999992643083846,0.09349476898636727,False,66.06173195850968,0.06756824071297984,0.009337335278721305,-84.74317734131476
2015-02-20,11.803333282470703,11.896666526794434,11.720000267028809,11.850000381469728,10.019170761108398,17373900.0,0.0005628597159301,0.0005627013698152,0.176666259765625,72.18929974684664,CSX,17373900.0,174072070.8864212,,-5.626894371476066,0.056285971593017514,1.7632822513754702,17.873795994495975,음봉,10.055808830261231,9.861344718933106,,True,False,0,0.21785702024187373,0.09345468837892773,False,72.18929974684664,0.06269809640419588,0.003565435550227647,-84.29107460460149
2015-02-23,11.866666793823242,11.92666721343994,11.80666732788086,11.923333168029783,10.081174850463867,11580000.0,0.0061885450237211,0.0061694746172364,0.1199998855590802,71.28303803470257,CSX,11580000.0,116740004.76837158,,-33.34829830953326,0.6188545023721126,1.1903363183266151,18.439610190958152,음봉,10.038335037231445,9.879663848876953,,True,False,0,0.21476180212838322,0.09328140226247045,False,71.28303803470257,0.06233951159948781,0.0025607129409286056,-113.58212096666158
2015-02-24,11.91333293914795,11.936667442321776,11.84000015258789,11.856666564941406,10.024808883666992,8919600.0,-0.0055912101151862,-0.005606899439331,0.0966672897338849,61.01691998993872,CSX,8919600.0,89417285.3187561,,-22.974093264248708,-0.5591210115186263,0.964280624754662,18.174053281099262,음봉,10.022553443908691,9.888259840011596,,True,False,0,0.2002380916050501,0.09320031154278378,False,61.016919989938714,0.05749297821357402,-0.0018259417110892268,-161.42853102304883
2015-02-25,11.846667289733888,11.883333206176758,11.726667404174805,11.736666679382324,9.968185424804688,17658000.0,-0.005648333002593,-0.0056643451585726,0.1566658020019531,59.42134332097636,CSX,17658000.0,176018218.23120117,,97.96851876765776,-0.5648333002593042,1.5716581837664076,18.17349764178722,음봉,10.021374893188476,9.903043222427367,,True,False,0,0.20047610146658748,0.09306118099312753,False,59.421343320976355,0.04915749329551389,-0.00811949857069582,-201.08743362485572
2015-02-26,11.763333320617676,11.796667098999023,11.42666721343994,11.436667442321776,9.71339225769043,29932800.0,-0.0255606367915502,-0.0258929854610428,0.3699998855590838,41.86080499328475,CSX,29932800.0,290749027.7709961,,69.51410125722053,-2.5560636791550295,3.809172694185618,18.008773104741493,음봉,9.961346435546876,9.913823747634888,,True,False,0,0.211904661996024,0.09295998407526046,True,41.86080499328475,0.024387962192660595,-0.026286279253014744,-192.50293603305403
2015-02-27,11.5,11.59000015258789,11.380000114440918,11.436667442321776,9.71339225769043,34042500.0,0.0,0.0,0.2100000381469726,38.59669258729217,CSX,34042500.0,330668155.93242645,,13.729754650416925,0.0,2.16196394190411,18.393241978826204,음봉,9.900190734863282,9.923758840560913,,False,False,0,0.2157141821725028,0.09286691792008399,False,38.59669258729217,0.00482032836027102,-0.03665532945518732,-177.92969823838297
2015-03-02,11.436667442321776,11.56999969482422,11.436667442321776,11.55666732788086,9.81531047821045,25589400.0,0.0104925465600678,0.0104378818423198,0.1333322525024449,44.73661238373326,CSX,25589400.0,251167905.95111847,,-24.831020048468822,1.0492546560067817,1.358410951935108,17.741229211318725,음봉,9.847017860412597,9.945271921157836,,False,False,0,0.21619027001517185,0.08189733558113017,False,44.73661238373326,-0.0032577689832304912,-0.03576505725194124,-167.04874736042552
