Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Ticker,news_sentiment_score,positive_keywords_count,title,volume_today,value_today,volume_ratio_3m,volume_change_pct,price_change_pct,intraday_range_pct,gap_open_pct,candle_type,ma5,ma20,ma60,ma5_cross_ma20,price_above_ma60,ma_alignment_score,atr_14,bollinger_band_width,volatility_spike,rsi_14,macd,macd_signal_diff,stochastic_k
2015-01-22,30.270000457763672,30.5,29.76000022888184,30.5,29.61221504211425,10035600.0,0.0139628708706951,0.0138662880002628,0.7399997711181605,82.520257193385,TMUS,,,,10035600.0,297176345.2766418,,,,2.4989679767816724,,음봉,,,,False,False,0,,,False,,0.0,0.0,
2015-01-23,30.420000076293945,30.51000022888184,30.1200008392334,30.15999984741211,29.28211212158203,2640200.0,-0.0111475254405235,-0.0112101247553073,0.389999389648441,77.18626563405707,TMUS,,,,2640200.0,77310632.42340088,,-73.691657698593,-1.1147525440523443,1.3318690538070739,2.7278777795949045,음봉,,,,False,False,0,,,False,,-0.007406155268355974,-0.0032916245637137666,
2015-01-26,30.020000457763672,30.65999984741211,30.0,30.65999984741211,29.76755714416504,3104400.0,0.016578210634786,0.0164422922329774,0.6599998474121094,84.6010803087847,TMUS,,,,3104400.0,92410404.39834595,,17.582001363533074,1.657821063478604,2.2171784006853947,2.519928661968987,음봉,,,,False,False,0,,,False,,0.0056167092666328244,0.0057430268682934615,
2015-01-27,30.31999969482422,30.780000686645508,30.15999984741211,30.65999984741211,29.76755714416504,3082700.0,0.0,0.0,0.6200008392333984,85.55344809919814,TMUS,,,,3082700.0,91764448.40831757,,-0.6990078598118843,0.0,2.082807252979203,1.8558545062454614,음봉,,,,False,False,0,,,False,,0.011402112068765291,0.007623135066623108,
2015-01-28,30.90999984741211,31.13999938964844,30.07999992370605,30.09000015258789,29.21414566040039,3030600.0,-0.0185910950329065,-0.0187660816288681,1.05999946594239,70.35393653012339,TMUS,,,,3030600.0,88536389.83840942,,-1.6900768806565658,-1.8591095032906568,3.628377424636495,3.8378785928391475,음봉,29.52871742248535,,,False,False,0,,,False,,-0.007715746318314842,-0.008075303008564766,
2015-01-29,30.11000061035156,30.11000061035156,29.3700008392334,29.549999237060547,28.689865112304688,5676000.0,-0.0179461194652138,-0.0181091039711769,0.7399997711181605,56.17709714763013,TMUS,,,,5676000.0,162843674.3774414,,87.28964561472976,-1.794611946521385,2.5793072509106527,3.066510862118055,음봉,29.34424743652344,,,False,False,0,,,False,,-0.04148168473072644,-0.030499938667871054,
2015-01-30,29.39999961853028,30.57999992370605,29.270000457763672,30.18000030517578,29.301528930664062,8199500.0,0.0213198568890113,0.0210957681711686,1.3099994659423793,59.91470849170332,TMUS,,,,8199500.0,240257886.46697998,,44.45912614517267,2.131985688901139,4.470754645746366,2.4752103345408414,음봉,29.348130798339845,,,False,False,0,,,False,,-0.03471220069410563,-0.017724909635003262,
2015-02-02,30.549999237060547,30.709999084472656,30.190000534057617,30.34000015258789,29.45687484741211,4651800.0,0.0053016317720362,0.0052876275971592,0.5199985504150391,61.07660194435387,TMUS,,,,4651800.0,137027490.41519165,,-43.26727239465821,0.5301631772036242,1.7652875707577742,4.260768471675072,음봉,29.28599433898926,,,False,False,0,,,False,,-0.02222670570763796,-0.003980284781278182,
2015-02-03,30.559999465942383,31.11000061035156,30.440000534057617,30.88999938964844,29.99085998535156,4736800.0,0.0181276914372456,0.0179653438940627,0.6700000762939418,63.706535738503725,TMUS,,,,4736800.0,142060705.57861325,,1.8272496667956384,1.8127691437245685,2.2340142184025065,3.7448800127118265,음봉,29.330654907226563,,,False,False,0,,,False,,0.013250400025352604,0.024220899055332326,
2015-02-04,30.81999969482422,31.11000061035156,30.690000534057617,30.75,29.854936599731445,3830900.0,-0.0045321603210612,-0.0045424616964227,0.4200000762939417,61.30265704673819,TMUS,,,,3830900.0,114371276.6199112,,-19.12472555311603,-0.4532160321061296,1.4068027741104625,2.7646413269830763,음봉,29.458813095092772,,,False,False,0,,,False,,0.031222804274477767,0.03273955404636355,
