Date,Open,High,Low,Raw_Close,Adj_Close,Volume,Return,LogReturn,Volatility,RSI_14,Turnover,OBV,MFI_14,VWAP
2015-01-22,70.66999816894531,72.11000061035156,70.38999938964844,71.94999694824219,56.92815780639648,2523000,0.0234707219494763,0.0231995198961559,1.720001220703125,58.73913085522432,143629742.1455383,0,,56.92815780639647
2015-01-23,72.08000183105469,72.11000061035156,71.41000366210938,71.43000030517578,56.516727447509766,1746700,-0.0072271855394639,-0.0072534281615194,0.6999969482421875,55.95988213116748,98717767.83256531,-1746700,,56.75984494884971
2015-01-26,71.2699966430664,71.7699966430664,71.05999755859375,71.7300033569336,56.75410079956055,1663500,0.004200054793888,0.0041912591831828,0.7099990844726562,65.15161697829649,94410446.68006897,-83200,,56.75823445327523
2015-01-27,71.04000091552734,71.79000091552734,70.91999816894531,71.44000244140625,56.52465438842773,1526200,-0.0040428164291275,-0.0040510107042239,0.8700027465820312,63.60951683142516,86267927.5276184,-1609400,,56.71044376032805
2015-01-28,71.6500015258789,72.54000091552734,70.30000305175781,70.31999969482422,55.63847351074219,2539200,-0.0156777761363361,-0.015801972258199,2.2399978637695312,52.51726588196995,141277211.93847656,-4148600,,56.43821096196143
2015-01-29,70.5199966430664,71.25,70.2699966430664,71.05000305175781,56.21607208251953,2854900,0.0103812799908291,0.0103277645575203,0.9800033569335938,49.47485274150722,160491264.188385,-1293700,,56.38887153791983
2015-01-30,70.48999786376953,70.83999633789062,69.69999694824219,69.79000091552734,55.219120025634766,2486700,-0.0177342887888243,-0.0178934255468505,1.1399993896484375,46.86568281154279,137313385.76774597,-3780400,,56.199250732089446
2015-02-02,69.73999786376953,70.98999786376953,69.16999816894531,70.91000366210938,56.10528945922852,3005600,0.0160482353428008,0.0159208237604565,1.8199996948242188,55.78947222727165,168630057.99865726,-774800,,56.1838570179036
2015-02-03,71.16000366210938,72.05999755859375,70.51000213623047,72.02999877929688,56.991477966308594,2988100,0.0157950973183029,0.0156716529491656,1.5499954223632812,58.565012997929685,170296235.3111267,2213300,,56.29697520801084
2015-02-04,71.80000305175781,72.87000274658203,71.72000122070312,72.58000183105469,57.4266242980957,3677400,0.0076352877187069,0.0076062864379674,1.1500015258789062,64.30507569089566,211180668.19381714,5890700,,56.463066997077306
2015-02-05,69.68000030517578,72.5199966430664,69.04000091552734,72.30000305175781,57.2050895690918,4825000,-0.0038577007043621,-0.0038651608238437,3.4799957275390625,63.841229237873584,276014557.1708679,1065700,,56.58306374298648
2015-02-06,72.0,72.20999908447266,70.72000122070312,70.93000030517578,56.1211166381836,4198100,-0.0189488896717656,-0.0191307205412891,1.4899978637695312,50.41469612871781,235602059.75875857,-3132400,,56.52608315450327
2015-02-09,70.31999969482422,70.69000244140625,69.8499984741211,70.02999877929688,55.40901184082031,3555200,-0.0126887139818381,-0.0127699032357388,0.8400039672851562,48.5359482604466,196990118.89648438,-6687600,,56.42043127381272
2015-02-10,70.55000305175781,70.58999633789062,69.6500015258789,70.05000305175781,55.42484664916992,3063500,0.0002857803780205,0.0002857395505865,0.9399948120117188,48.8869016135569,169794017.70973206,-3624100,46.5562941340243,56.34540689688714
2015-02-11,70.13999938964844,71.41999816894531,69.98999786376953,71.18000030517578,56.31892776489258,3840100,0.0161314134323553,0.0160026847215689,1.4300003051757812,46.40530437397479,216270314.509964,216000,46.952862350245205,56.34312154733322
2015-02-12,71.23999786376953,71.69000244140625,71.16000366210938,71.56999969482422,56.62749099731445,2063400,0.0054788548835658,0.0054639005550128,0.529998779296875,50.66157927786785,116845164.92385864,2279400,46.56288222544035,56.355724871525524
2015-02-13,71.37000274658203,71.73999786376953,71.13999938964844,71.45999908447266,56.540470123291016,2016900,-0.0015367248749827,-0.0015379068477199,0.5999984741210938,48.70066894598317,114036474.19166565,262500,46.01793980314993,56.3633959822811
